comentario,likes,hora,post_id,Texto post,Texto post 2,Texto compartido,Hora de posteo,Imagen,Likes del post,Comentarios del Post,Compartido,URL,Link,Hora consulta,Nombre Facebook
Fabian Valderas Valderas Mañalich se irá del gobierno hasta que mate el 2% del país,0,1 min,10157433764735895,"Hoy ingresó un segundo recurso, esta vez en contra del Presidente Piñera
COOPERATIVA.CL
Corte rechaza recurso contra Mañalich por no decretar cuarentena en O'Higgins","Hoy ingresó un segundo recurso, esta vez en contra del Presidente Piñera","COOPERATIVA.CL
Corte rechaza recurso contra Mañalich por no decretar cuarentena en O'Higgins",2020-03-25 12:59:34,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQD3ch3tl2HaNtM_&w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000001120200325124511.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQDrKMWIuPr4bdRZ,0,0,0,https://m.facebook.com/story.php?story_fbid=10157433764735895&id=313191260894,http://www.cooperativa.cl/noticias/sociedad/salud/coronavirus/corte-rechaza-recurso-contra-manalich-por-no-decretar-cuarentena-en-o-higgins/2020-03-25/124511.html,2020-03-25 13:01:01.467710,Cooperativa
Mónica Pedemonte Sanchez,0,4 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Irene Zuñiga Yañez,0,1 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Rachel Vero Madrid Maravillosa !!! ❤🥰,0,4 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Daniela Hernández Aguilera,0,5 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Bruno Marcelo Eye Chopin 🎹❤️ grande abuelita.,0,5 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Gloria Pavez Precioso,0,2 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Daniel Austin D. Meléndez,0,9 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Maggie Carrasco Reina Que hermoso¡!,0,3 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
Monica Cabezas Hermoso,0,6 min,10157433734170895,"😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".","😍 Santiago, un joven argentino, compartió en Twitter este video que emocionó a miles de personas. ""Mi abuela se llama Olga, pero le decimos Lucy. Tiene 90 años, y fue pianista y profesora de piano. Hoy se confunde a las personas y no reconoce su propia casa. Pero se sienta en el piano y pasa esto. El cerebro humano es increíble"".",,2020-03-25 12:50:14,,193,24,0,https://m.facebook.com/story.php?story_fbid=10157433734170895&id=313191260894,,2020-03-25 13:01:38.312818,Cooperativa
