comentario,likes,hora,post_id,Texto post,Texto post 2,Texto compartido,Hora de posteo,Imagen,Likes del post,Comentarios del Post,Compartido,URL,Link,Hora consulta,Nombre Facebook
"Danilo Toledo Están volviendo a su habitad natural, todo es cuestión de tiempo para que los titanes vuelvan a un mundo que les pertenece, los Mutos, Rodan, Mothra, Ghidorah y Godzilla muy pronto estarán para reclamar lo que les pertenece.",2,2 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
Elisa Michi Danilo Toledo jajajja pienso que asi sera!!😂👌,0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
"Wentru Kizüngünewün Yo pensé que era sobre mañalich!
Ups.",0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
Elisa Michi Jajajjaja. Elnpoder de la naturaleza. Los animales estan saliendo y los humanos nos encerramos . 😂😂😂😂😂😂😂👌👌,4,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
"Pedro Vera Carrasco 🎼Juntos podremos llegar , donde jamás hemos idoooo🎼",0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
Yohana Figueroa Fuentes Ahí se dan cuenta que sus casitas están en terreno de la naturaleza,0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
Nico Strato Un pedacito de jamón o una lata de atún para que coma.,0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
Nairb Zerï Está la crema en todos lados y vamos recién en el 3 mes de éste 2020.,0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
Esteban Nuñez Quede súper informado entrando al link....,0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
Eduardo Antonio Marquez Vera Los Pumas en las calles y los Monos en la Moneda.,0,1 min,10157433714515895,"El animal de ayer despertó bien.
COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",El animal de ayer despertó bien.,"COOPERATIVA.CL
Vecinos de La Reina reportan avistamiento de otro puma en las calles",2020-03-25 12:43:48.000000,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fwww.cooperativa.cl%2Fnoticias%2Fsite%2Fartic%2F20200325%2Fimag%2Ffoto_0000000120200325123834.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBSIoWHeBJMqr50,179,46,83,https://m.facebook.com/story.php?story_fbid=10157433714515895&id=313191260894,https://www.cooperativa.cl/noticias/pais/medioambiente/animales/vecinos-de-la-reina-reportan-avistamiento-de-otro-puma-en-las-calles/2020-03-25/123834.html,2020-03-25 12:47:34.856957,Cooperativa
